,name,rating,price,Total Reviews
136,Dell Vostro 14 5402 Intel Core i5 1135G7 14 Inch FHD Display Vintage Gray Laptop,5,"81,000",2.0
137,Dell Latitude 14-5410 Intel Core i5 10210U 14 Inch FHD Display Free Dos Titan Grey Laptop,5,"81,500",2.0
138,Asus ZenBook 14 UX425JA Intel Core i5 1035G1 14 Inch FHD Display Pine Grey Laptop #HM021T-UX425JA,5,"81,500",3.0
139,Dell Inspiron 15-5502 Intel Core i5 1135G7 15.6 Inch FHD Display Finger Print Sensor River Rock Laptop #MOCKINGN515TGL21053310-2Y,5,"82,000",1.0
140,Dell Inspiron 14-5402 Intel Core i5 1135G7 14 Inch FHD Display Platinum Silver Laptop,5,"82,000",1.0
141,Dell Inspiron 15-5502 Intel Core i5 1135G7 15.6 Inch FHD Display Silver Laptop #MOCKINGN515TGL21053310-2Y,5,"82,000",1.0
142,Dell Inspiron 14-5402 Intel Core i5 1135G7 14 Inch FHD Display Silver Soft Mint Laptop,5,"83,000",2.0
143,Dell Latitude 14-5490 8th Gen Intel Core i5 8250U 14 Inch FHD Display Black Laptop,0,"84,000",
144,Asus VivoBook Flip 14 TM420UA AMD Ryzen 7 5700U 14 Inch FHD Touch Display Bespoke Black Laptop #EC046T-TM420UA,5,"85,000",3.0
145,Asus ZenBook 14 UX425EA Intel Core i5 1135G7 14 Inch FHD Display Pine Grey Laptop,5,"86,000",2.0
146,Asus ZenBook 14 UX425EA Intel Core i5 1135G7 14 Inch FHD Display Lilac Mist Laptop #KI593T-UX425EA,5,"86,000",2.0
147,Asus VivoBook 15 X512FL 8th Gen Intel Core i7 8565U Transparent Silver Laptop,5,"86,500",3.0
148,MSI Modern 14 B11SB 11th Gen Intel Core i5 1135G7  14 Inch FHD IPS Display Carbon Gray Laptop,5,"87,500",1.0
149,Asus ZenBook 14 UX425JA Intel Core i5 1035G1 14 Inch FHD Display Lilac Mist Laptop,5,"88,000",2.0
150,MSI Summit B14 A11M Intel Core i5 1135G7 14 Inch FHD IPS Display Black Laptop,5,"88,000",2.0
151,Dell Inspiron 15 3501 11th Gen Intel Core i7 1165G7 15.6 Inch FHD Display Black Laptop #BULLN315TGL2105304-2Y,0,"88,000",
152,MSI Modern 15 A11SB Intel Core i5 1135G7 15.6 Inch FHD IPS Display Carbon Gray Laptop,5,"88,500",6.0
